,id_str,screen_name,user_name,date,time,in_reply_to_status_id_str,text,retweet_count,favorite_count,url,senti_score_pos,senti_score_neu,senti_score_neg,senti_score_com
0,1063584634821378049,FordsGin,Fords Gin,2018-11-17,00:08:32,Brand Tweet,"Creating a gin specifically designed for cocktails is only one part of the Fords Gin mission, which aims to support the bartenders redefining the future of hospitality—Let’s shine a light on these game-changers. First up, the remarkable Ashtin Berry! https://t.co/owHgzr86UH",0,4,https://twitter.com/FordsGin/status/1063584634821378049,0.1025,0.8975,0.0,0.41565
1,1038217363559047169,FordsGin,Fords Gin,2018-9-08,00:08:03,Brand Tweet,"Huge news!!!
Fords Gin Officers’ Reserve has been featured in the September/October issue of @imbibe!!! 😲 
With the release of Fords Gin Officers Reserve so near, we are thrilled to get love from such a legendary publication.
We can’t wait to share the delicious gin inside!",3,19,https://twitter.com/FordsGin/status/1038217363559047169,0.36933333333333335,0.6306666666666666,0.0,0.47093333333333337
2,1025508249296982016,FordsGin,Fords Gin,2018-8-03,22:26:34,Brand Tweet,"Spotted in the wild at the Fords Gin Botanical Garden last week at the @the1rooftop. 
No garden gnomes, but perhaps an elephant with impeccable taste in gin. 📷 @thelouiscollection 
_________
#fordsgin #thecocktailgin #londondrygin #ninebotanicals #madeformixing https://t.co/aXA6NXuunz",0,2,https://twitter.com/FordsGin/status/1025508249296982016,0.0,0.944,0.056,-0.1531
3,1024064250602389504,FordsGin,Fords Gin,2018-7-30,22:48:38,Brand Tweet,"Who’s Afraid of a Gin Martini?
3 parts Fords Gin
1 part Dry Vermouth
Lemon twist
#fordsgin #thecocktailgin #madeformixing #madeformartinis #ninebotanicals #dryginmartini #londondrygin https://t.co/uoNFuohe9Y",0,5,https://twitter.com/FordsGin/status/1024064250602389504,0.0,1.0,0.0,0.0
4,1022541958516957185,FordsGin,Fords Gin,2018-7-26,17:59:35,Brand Tweet,"Working on our bottle tag for Officer’s Reserve, our first #agedgin experiment! ⚓️ What do you think?

If everything goes according to plan, Officer’s Reserve will be released in September! 

#officersreserve #journeysingin #navystrengthgin #fordsgin #thecocktailgin https://t.co/0nxC0WM2L2",2,7,https://twitter.com/FordsGin/status/1022541958516957185,0.0,1.0,0.0,0.0
5,1022321644486840321,FordsGin,Fords Gin,2018-7-26,03:24:08,Brand Tweet,"Check us out on the list of the 30 best bottles of booze for under $30! Thanks @InsideHook!!! 

https://t.co/zxwpGlaDWM",0,3,https://twitter.com/FordsGin/status/1022321644486840321,0.3403333333333334,0.6596666666666667,0.0,0.4174
6,1019400350325882881,FordsGin,Fords Gin,2018-7-18,01:55:57,Brand Tweet,"Introducing Fords Gin Officer’s Reserve, our first aged gin experiment! These are sample labels and the final will be slightly different, but we wanted to share our progress with you!

Hopefully a September release! 🤞🏻We can’t wait to share the beautiful gin inside with you! https://t.co/EHvUkHQKkw",0,5,https://twitter.com/FordsGin/status/1019400350325882881,0.2576,0.7424,0.0,0.39702
7,1017490942884917248,FordsGin,Fords Gin,2018-7-12,19:28:39,Brand Tweet,"Featured in Forbes Travel Guide: Tips from Simon Ford on some of the best drinking destinations in London. 

Huge thank you to @wellfedlife for the wonderful article!

https://t.co/BadWza2MFm",0,1,https://twitter.com/FordsGin/status/1017490942884917248,0.191,0.8089999999999999,0.0,0.4592
8,1012468626232786944,FordsGin,Fords Gin,2018-6-28,22:51:45,Brand Tweet,"A great read on some of the best Martini spots around the globe.

https://t.co/DRJ3z0I0kH",1,7,https://twitter.com/FordsGin/status/1012468626232786944,0.454,0.546,0.0,0.8519
9,943152934023557120,FordsGin,Fords Gin,2017-12-19,16:15:57,Brand Tweet,Check out this great article on Fords Gin Festive Cocktail Challenge! https://t.co/9HCbLAWW1p,0,5,https://twitter.com/FordsGin/status/943152934023557120,0.271,0.729,0.0,0.42895
